city,admin_name,country,population,lat,lng
Tokyo,Tōkyō,Japan,37785000,35.6870,139.7495
Jakarta,Jakarta,Indonesia,33756000,-6.1750,106.8275
Delhi,Delhi,India,32226000,28.6100,77.2300
Guangzhou,Guangdong,China,26940000,23.1300,113.2600
Mumbai,Mahārāshtra,India,24973000,19.0761,72.8775
Manila,Manila,Philippines,24922000,14.5958,120.9772
Shanghai,Shanghai,China,24073000,31.2286,121.4747
São Paulo,São Paulo,Brazil,23086000,-23.5504,-46.6339
Seoul,Seoul,South Korea,23016000,37.5667,126.9833
Mexico City,Ciudad de México,Mexico,21804000,19.4333,-99.1333
Kolkāta,West Bengal,India,21747000,22.5675,88.3700
Cairo,Al Qāhirah,Egypt,20296000,30.0444,31.2358
Karachi,Sindh,Pakistan,20249000,24.8600,67.0100
Dhaka,Dhaka,Bangladesh,19134000,23.7289,90.3944
New York,New York,United States,18832416,40.6943,-73.9249
Beijing,Beijing,China,18522000,39.9067,116.3975
Bangkok,Krung Thep Maha Nakhon,Thailand,18007000,13.7525,100.4942
Shenzhen,Guangdong,China,17619000,22.5415,114.0596
Moscow,Moskva,Russia,17332000,55.7506,37.6175
Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,16710000,-34.6036,-58.3814
Lagos,Lagos,Nigeria,16637000,6.4550,3.3841
Bangalore,Karnātaka,India,15386000,12.9789,77.5917
Ho Chi Minh City,Hồ Chí Minh,Vietnam,15136000,10.7756,106.7019
Ōsaka,Ōsaka,Japan,15126000,34.6939,135.5022
Chengdu,Sichuan,China,14645000,30.6600,104.0633
Istanbul,İstanbul,Turkey,14441000,41.0136,28.9550
Tehran,Tehrān,Iran,14148000,35.6889,51.3897
Kinshasa,Kinshasa,Congo (Kinshasa),12836000,-4.3219,15.3119
Rio de Janeiro,Rio de Janeiro,Brazil,12592000,-22.9111,-43.2056
Chennai,Tamil Nādu,India,12395000,13.0825,80.2750
Xi’an,Shaanxi,China,12328000,34.2611,108.9422
Lahore,Punjab,Pakistan,12306000,31.5497,74.3436
Chongqing,Chongqing,China,12135000,29.5637,106.5504
Los Angeles,California,United States,11885717,34.1141,-118.4068
London,City of London,United Kingdom,11262000,51.5072,-0.1275
Paris,Île-de-France,France,11060000,48.8567,2.3522
Linyi,Shandong,China,10820000,35.1038,118.3564
Dongguan,Guangdong,China,10646000,23.0210,113.7520
Baoding,Hebei,China,10546831,38.8740,115.4640
Hyderābād,Telangāna,India,10494000,17.3617,78.4747
Tianjin,Tianjin,China,10368000,39.1336,117.2054
Lima,Lima,Peru,10320000,-12.0600,-77.0375
Wuhan,Hubei,China,10251000,30.5934,114.3046
Nanyang,Henan,China,9577771,32.9902,112.5285
Hangzhou,Zhejiang,China,9523000,30.2670,120.1530
Nagoya,Aichi,Japan,9197000,35.1833,136.9000
Luanda,Luanda,Angola,9051000,-8.8383,13.2344
Foshan,Guangdong,China,9042500,23.0214,113.1216
Kuala Lumpur,Kuala Lumpur,Malaysia,8911000,3.1686,101.6980
Zhoukou,Henan,China,8677800,33.6367,114.7014
Tongshan,Jiangsu,China,8669000,34.2610,117.1859
Hanoi,Hà Nội,Vietnam,8587100,21.0000,105.8500
Chicago,Illinois,United States,8489066,41.8375,-87.6866
Nanjing,Jiangsu,China,8422000,32.0608,118.7789
Heze,Shandong,China,8287693,35.2343,115.4796
Pune,Mahārāshtra,India,8231000,18.5203,73.8567
Jining,Shandong,China,8081905,35.4151,116.5871
Bogotá,Bogotá,Colombia,8034649,4.7111,-74.0722
Ahmedabad,Gujarāt,India,8009000,23.0225,72.5714
Shenyang,Liaoning,China,7964000,41.8025,123.4281
Dar es Salaam,Dar es Salaam,Tanzania,7962000,-6.8161,39.2803
Khartoum,Khartoum,Sudan,7869000,15.6031,32.5265
Johannesburg,Gauteng,South Africa,7860781,-26.2044,28.0456
Fuyang,Anhui,China,7599913,32.8900,115.8140
Hong Kong,,Hong Kong,7450000,22.3000,114.2000
Ganzhou,Jiangxi,China,7396873,25.8310,114.9330
Shangqiu,Henan,China,7325300,34.4150,115.6560
Cangzhou,Hebei,China,7300783,38.3047,116.8387
Riyadh,Ar Riyāḑ,Saudi Arabia,7237000,24.6500,46.7100
Santiago,Región Metropolitana,Chile,7171000,-33.4372,-70.6506
Zhumadian,Henan,China,7008427,33.0140,114.0220
Zhanjiang,Guangdong,China,6981236,21.2701,110.3575
Rangoon,Yangon,Burma,6874000,16.7950,96.1600
Yancheng,Jiangsu,China,6709629,33.3500,120.1569
Bijie,Guizhou,China,6686100,27.2840,105.2920
Xingtai,Hebei,China,6645766,37.0717,114.5048
Hengyang,Hunan,China,6645243,26.8940,112.5720
Shaoyang,Hunan,China,6563520,27.2395,111.4679
Surabaya,Jawa Timur,Indonesia,6556000,-7.2458,112.7378
Sūrat,Gujarāt,India,6538000,21.2050,72.8400
Quanzhou,Fujian,China,6480000,24.8744,118.6757
Shangrao,Jiangxi,China,6435300,28.4551,117.9431
Zunyi,Guizhou,China,6270700,27.7220,107.0310
Madrid,Madrid,Spain,6211000,40.4169,-3.7033
Baghdad,Baghdād,Iraq,6183000,33.3153,44.3661
Maoming,Guangdong,China,6174050,21.6627,110.9255
Miami,Florida,United States,6113982,25.7840,-80.2101
Xinyang,Henan,China,6109106,32.1490,114.0910
Houston,Texas,United States,6046392,29.7860,-95.3885
Singapore,,Singapore,5983000,1.3000,103.8000
Prayagraj,Uttar Pradesh,India,5954391,25.4358,81.8464
Huanggang,Hubei,China,5882719,30.4537,114.8724
Dalian,Liaoning,China,5871474,38.9000,121.6000
Ankara,Ankara,Turkey,5864049,39.9300,32.8500
Dallas,Texas,United States,5843632,32.7935,-96.7667
Qingdao,Shandong,China,5818255,36.0669,120.3827
Yulin,Guangxi,China,5796766,22.6540,110.1810
Liaocheng,Shandong,China,5789863,36.4559,115.9852
Douala,Littoral,Cameroon,5768400,4.0500,9.7000
Qujing,Yunnan,China,5765775,25.4910,103.7960
Nangandao,Henan,China,5708191,35.3036,113.9268
Addis Ababa,Ādīs Ābeba,Ethiopia,5704000,9.0300,38.7400
Philadelphia,Pennsylvania,United States,5696588,40.0077,-75.1339
Toronto,Ontario,Canada,5647656,43.7417,-79.3733
Zhengzhou,Henan,China,5621593,34.7640,113.6840
Nanchong,Sichuan,China,5607565,30.8372,106.1106
Jinan,Shandong,China,5606374,36.6702,117.0207
Giza,Al Jīzah,Egypt,5598402,29.9870,31.2118
Saint Petersburg,Sankt-Peterburg,Russia,5597763,59.9375,30.3086
Jieyang,Guangdong,China,5577814,23.5510,116.3727
Dezhou,Shandong,China,5568235,37.4360,116.3590
Nairobi,Nairobi City,Kenya,5545000,-1.2864,36.8172
Guadalajara,Jalisco,Mexico,5525000,20.6767,-103.3475
Tai’an,Shandong,China,5472217,36.2020,117.0870
Dazhou,Sichuan,China,5385422,31.2093,107.4678
Belo Horizonte,Minas Gerais,Brazil,5328000,-19.9281,-43.9419
Suzhou,Anhui,China,5324476,33.6480,116.9640
Monterrey,Nuevo León,Mexico,5324281,25.6844,-100.3181
Yongzhou,Hunan,China,5289824,26.4200,111.6130
Changde,Hunan,China,5279102,29.0310,111.6990
Xiangyang,Hubei,China,5260951,32.0100,112.1220
Atlanta,Georgia,United States,5211164,33.7628,-84.4220
Pudong,Shanghai,China,5187200,31.2347,121.5064
Washington,District of Columbia,United States,5146120,38.9047,-77.0163
Zhaotong,Yunnan,China,5092611,27.3380,103.7170
Zhangzhou,Fujian,China,5054328,24.5130,117.6470
Yueyang,Hunan,China,5051922,29.3647,113.1309
Melbourne,Victoria,Australia,5031195,-37.8142,144.9631
Yichun,Jiangxi,China,5007702,27.8160,114.4170
Abidjan,Abidjan,Côte d’Ivoire,4980000,5.3364,-4.0267
Guilin,Guangxi,China,4931137,25.2750,110.2960
Pingdingshan,Henan,China,4904701,33.7666,113.1926
Alexandria,Al Iskandarīyah,Egypt,4870000,31.1975,29.8925
Bozhou,Anhui,China,4850657,33.8463,115.7786
Sydney,New South Wales,Australia,4840600,-33.8667,151.2000
Barcelona,Catalonia,Spain,4800000,41.3833,2.1833
Yuncheng,Shanxi,China,4774508,35.0267,111.0070
Cape Town,Western Cape,South Africa,4770313,-33.9253,18.4239
Changsha,Hunan,China,4766296,28.2280,112.9390
Suqian,Jiangsu,China,4719178,33.9630,118.2750
Jeddah,Makkah al Mukarramah,Saudi Arabia,4697000,21.5428,39.1728
Weinan,Shaanxi,China,4688744,34.5206,109.4710
Berlin,Berlin,Germany,4679500,52.5200,13.4050
Chenzhou,Hunan,China,4667134,25.7700,113.0160
Jiangmen,Guangdong,China,4630300,22.5789,113.0815
Mianyang,Sichuan,China,4613862,31.4680,104.6790
Jiujiang,Jiangxi,China,4600276,29.6610,115.9540
Huaihua,Hunan,China,4587594,27.5698,110.0016
Huanglongsi,Henan,China,4564900,34.7950,114.3450
Taizhou,Jiangsu,China,4512762,32.4567,119.9229
Belāhi,Bihār,India,4487379,26.4000,86.2500
Yibin,Sichuan,China,4471896,28.7520,104.6430
Ji’an,Jiangxi,China,4469176,27.0912,114.9668
Yangzhou,Jiangsu,China,4459760,32.3944,119.4128
Kunming,Yunnan,China,4422686,25.0464,102.7094
Changchun,Jilin,China,4408154,43.8970,125.3260
Lu’an,Anhui,China,4393699,31.7360,116.5200
Xinpu,Jiangsu,China,4393482,34.5966,119.2214
Langfang,Hebei,China,4358839,39.5383,116.6835
Boston,Massachusetts,United States,4355184,42.3188,-71.0852
Ürümqi,Xinjiang,China,4335017,43.8225,87.6125
Suzhou,Jiangsu,China,4330000,31.3000,120.6194
Guigang,Guangxi,China,4316262,23.1120,109.5990
Shantou,Guangdong,China,4312192,23.3540,116.6820
Jiangguanchi,Henan,China,4307488,34.0370,113.8520
Kabul,Kābul,Afghanistan,4273156,34.5253,69.1783
Xiaoganzhan,Hubei,China,4270371,30.9180,113.9570
Bamako,Bamako,Mali,4227569,12.6458,-7.9922
Kano,Kano,Nigeria,4224966,12.0000,8.5167
Luzhou,Sichuan,China,4218427,28.8710,105.4420
Hefei,Anhui,China,4216940,31.8206,117.2273
Hengshui,Hebei,China,4212933,37.7390,115.6690
Fortaleza,Ceará,Brazil,4167996,-3.7275,-38.5275
Anqing,Anhui,China,4165284,30.5318,117.1153
Zhangjiakou,Hebei,China,4118908,40.7690,114.8860
Zhaoqing,Guangdong,China,4113594,23.0500,112.4667
Shijiazhuang,Hebei,China,4098243,38.0425,114.5100
Ningbo,Zhejiang,China,4087523,29.8603,121.6245
Qiqihar,Heilongjiang,China,4067489,47.3549,123.9182
Phoenix,Arizona,United States,4065338,33.5722,-112.0892
Liuzhou,Guangxi,China,4041700,24.3278,109.4278
Chifeng,Inner Mongolia,China,4035967,42.2550,118.8825
Xiaoxita,Hubei,China,4017607,30.6920,111.2870
Amman,Al ‘Āşimah,Jordan,4007526,31.9497,35.9328
Linfen,Shanxi,China,3976481,36.0880,111.5190
Xianyang,Shaanxi,China,3959842,34.3299,108.7088
Chuzhou,Anhui,China,3937868,32.2560,118.3330
Kumasi,Ashanti,Ghana,3903480,6.7000,-1.6250
Zhuzhou,Hunan,China,3902738,27.8290,113.1330
Taiyuan,Shanxi,China,3875053,37.8704,112.5497
Qingyuan,Guangdong,China,3874000,23.6820,113.0560
Meizhou,Guangdong,China,3873239,24.2890,116.1220
Yiyang,Hunan,China,3851564,28.5549,112.3560
Nanning,Guangxi,China,3837978,22.8167,108.3275
Harbin,Heilongjiang,China,3830000,45.7576,126.6409
Loudi,Hunan,China,3826996,27.6998,111.9944
Abuja,Federal Capital Territory,Nigeria,3770000,9.0667,7.4833
Yokohama,Kanagawa,Japan,3757630,35.4442,139.6381
Suihua,Heilongjiang,China,3756167,46.6540,126.9690
Binzhou,Shandong,China,3748474,37.3830,117.9710
Zaozhuang,Shandong,China,3729140,34.8109,117.3238
Detroit,Michigan,United States,3716929,42.3834,-83.1024
Xiamen,Fujian,China,3707090,24.4796,118.0889
Mashhad,Khorāsān-e Raẕavī,Iran,3700000,36.3264,59.5433
Montréal,Quebec,Canada,3675219,45.5089,-73.5617
Fuzhou,Fujian,China,3671192,26.0743,119.2964
Wuhu,Anhui,China,3644420,31.3526,118.4331
Medan,Sumatera Utara,Indonesia,3632000,3.5894,98.6739
Yulinshi,Shaanxi,China,3624750,38.2858,109.7341
Fuzhou,Jiangxi,China,3614866,27.9490,116.3580
Wenzhou,Zhejiang,China,3604446,27.9938,120.6993
Changzhou,Jiangsu,China,3601079,31.8110,119.9740
Puyang,Henan,China,3598740,35.7627,115.0292
Nanchang,Jiangxi,China,3576547,28.6830,115.8580
Baicheng,Guangxi,China,3571505,23.9030,106.6190
Seattle,Washington,United States,3555253,47.6211,-122.3244
Ibadan,Oyo,Nigeria,3552000,7.3964,3.9167
Jiaozuo,Henan,China,3521078,35.2157,113.2419
Nādampālaiyam,Tamil Nādu,India,3458045,11.0125,76.9714
Deyang,Sichuan,China,3456161,31.1270,104.3980
Busan,Busan,South Korea,3453198,35.1800,129.0750
Hechi,Guangxi,China,3417945,24.6930,108.0850
Tangshan,Hebei,China,3399231,39.6294,118.1739
Lucknow,Uttar Pradesh,India,3382000,26.8500,80.9500
San Francisco,California,United States,3364862,37.7558,-122.4449
Boankra,Ashanti,Ghana,3348000,6.6919,-1.4051
Dubai,Dubayy,United Arab Emirates,3331420,25.2631,55.2972
Anshan,Liaoning,China,3325372,41.1080,122.9940
Guozhen,Shaanxi,China,3321853,34.3609,107.1751
Baojishi,Shaanxi,China,3321853,34.3630,107.2380
Qinzhou,Guangxi,China,3302238,21.9810,108.6540
Guiyang,Guizhou,China,3299724,26.6470,106.6300
Wuxi,Jiangsu,China,3245179,31.5667,120.2833
Kannankulam,Kerala,India,3243170,10.5200,76.2100
Caracas,Distrito Capital,Venezuela,3242000,10.4806,-66.9036
Kotla Qasim Khan,Punjab,Pakistan,3219375,32.5833,73.7500
Casablanca,Casablanca-Settat,Morocco,3215935,33.5333,-7.5833
Hanzhong,Shaanxi,China,3211462,33.0664,107.0232
Shiyan,Hubei,China,3209004,32.6290,110.7987
Guang’an,Sichuan,China,3205476,30.4564,106.6326
Faisalabad,Punjab,Pakistan,3203846,31.4167,73.0911
Changzhi,Shanxi,China,3180884,36.1950,113.1170
Tongren,Guizhou,China,3168800,27.7316,109.1895
Bengbu,Anhui,China,3164467,32.9170,117.3890
Leshan,Sichuan,China,3160168,29.5520,103.7660
Santa Cruz de la Sierra,Santa Cruz,Bolivia,3151676,-17.7892,-63.1975
Neijiang,Sichuan,China,3140678,29.5802,105.0580
Zhenjiang,Jiangsu,China,3113384,32.1880,119.4240
Qinhuangdao,Hebei,China,3107400,39.8882,119.5202
Bursa,Bursa,Turkey,3101833,40.1833,29.0500
Tashkent,Toshkent,Uzbekistan,3095498,41.3111,69.2797
Guayaquil,Guayas,Ecuador,3094420,-2.1900,-79.8875
Jaipur,Rājasthān,India,3073350,26.9000,75.8000
